epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.915,1.24315,1.38815,1.37767,0.62495,0.70066,0.71718,0.41764,1.44204,2.0709,1.7075,0.000332051,0.000332051,0.000332051
2,814.791,1.30099,1.18754,1.40926,0.80903,0.76629,0.81515,0.50821,1.36268,1.29962,1.60876,0.000621469,0.000621469,0.000621469
3,1216.19,1.29219,1.14183,1.40298,0.80977,0.77065,0.81069,0.51606,1.25644,1.40663,1.47881,0.000866887,0.000866887,0.000866887
4,1617.43,1.23062,1.04041,1.35659,0.85968,0.80497,0.85283,0.5773,1.15989,1.02377,1.37832,0.000802,0.000802,0.000802
5,2018.06,1.17598,0.96123,1.32287,0.86685,0.8344,0.88055,0.6031,1.10617,0.8985,1.32872,0.000736,0.000736,0.000736
6,2416.66,1.18363,0.8564,1.38261,0.88436,0.84111,0.89389,0.61531,1.09462,0.87973,1.30879,0.00067,0.00067,0.00067
7,2814.73,1.15323,0.79034,1.3509,0.89603,0.85447,0.90146,0.62382,1.0493,0.76619,1.26113,0.000604,0.000604,0.000604
8,3212.71,1.11237,0.72768,1.31863,0.90264,0.86022,0.90944,0.64726,1.01243,0.72092,1.24537,0.000538,0.000538,0.000538
9,3610.73,1.08807,0.68521,1.29979,0.90616,0.88505,0.92404,0.66088,1.00321,0.67712,1.22739,0.000472,0.000472,0.000472
10,4008.74,1.04984,0.64434,1.27484,0.88897,0.88593,0.91976,0.66128,0.97805,0.68228,1.21106,0.000406,0.000406,0.000406
11,4406.65,1.03095,0.61853,1.26017,0.91765,0.8991,0.93286,0.67926,0.94848,0.61468,1.17703,0.00034,0.00034,0.00034
12,4804.53,1.00213,0.57797,1.24588,0.9177,0.8984,0.93374,0.68578,0.93632,0.59863,1.18579,0.000274,0.000274,0.000274
13,5202.52,0.97839,0.54312,1.23002,0.91958,0.90899,0.94104,0.69391,0.92668,0.57028,1.17025,0.000208,0.000208,0.000208
14,5600.33,0.95182,0.51573,1.2035,0.91866,0.91444,0.94643,0.70102,0.91127,0.56191,1.1647,0.000142,0.000142,0.000142
15,5998.26,0.91771,0.48985,1.18585,0.92672,0.90915,0.94582,0.70401,0.90247,0.55717,1.1569,7.6e-05,7.6e-05,7.6e-05
